LCSC Part Number,Manufacture Part Number,Manufacturer,Package,Customer #,Description,RoHS,Order Qty.,Min\Mult Order Qty.,Unit Price($),Ext.Price($),Product Link
C717030,PTF-77,XFCN,-,,Fuseholders ROHS,yes,5,5,0.1301,0.65,https://www.lcsc.com/product-detail/fuseholders_xfcn-ptf-77_C717030.html
C2903232,MF1/4W-10K±1%-ST52,VO,"Plugin,D2.7xL6.2mm",,"Metal Film Resistors 10kΩ 250mW ±100ppm/℃ ±1% Plugin,D2.7xL6.2mm Through Hole Resistors ROHS",yes,100,100,0.0044,0.44,https://www.lcsc.com/product-detail/through-hole-resistors_vo-mf1-4w-10k-1-st52_C2903232.html
C2903242,MF1/4W-150Ω±1%-ST52,VO,"Plugin,D2.7xL6.2mm",,"Metal Film Resistors 150Ω 250mW ±100ppm/℃ ±1% Plugin,D2.7xL6.2mm Through Hole Resistors ROHS",yes,100,100,0.0042,0.42,https://www.lcsc.com/product-detail/through-hole-resistors_vo-mf1-4w-150-1-st52_C2903242.html
C2903278,MF1/4W-2K±1%-ST52,VO,"Plugin,D2.7xL6.2mm",,"Metal Film Resistors 2kΩ 250mW ±100ppm/℃ ±1% Plugin,D2.7xL6.2mm Through Hole Resistors ROHS",yes,100,100,0.0046,0.46,https://www.lcsc.com/product-detail/through-hole-resistors_vo-mf1-4w-2k-1-st52_C2903278.html
C2903245,MF1/4W-1K±1%-ST52,VO,"Plugin,D2.7xL6.2mm",,"Metal Film Resistors 1kΩ 250mW ±100ppm/℃ ±1% Plugin,D2.7xL6.2mm Through Hole Resistors ROHS",yes,100,100,0.0046,0.46,https://www.lcsc.com/product-detail/through-hole-resistors_vo-mf1-4w-1k-1-st52_C2903245.html
C5381727,STC1300,Reomax,"Plugin,D5xL20mm",,"Glass Tube Fuse 3A Plugin,D5xL20mm Disposable fuses ROHS",yes,10,10,0.0572,0.57,https://www.lcsc.com/product-detail/disposable-fuses_reomax-stc1300_C5381727.html
